s,Pa,rpm
9.83020000,0.684993445873261,1133.02844390414
9.83022000,0.641280293464661,1133.03204272306
9.83024000,0.572120130062103,1133.03564154198
9.83026000,0.473889768123627,1133.03924036091
9.83028000,0.389758050441742,1133.04283917983
9.83030000,0.318870782852173,1133.04643799875
9.83032000,0.234419912099838,1133.05003681768
9.83034000,0.143942877650261,1133.0536356366
9.83036000,0.0849014222621918,1133.05723445552
9.83038000,0.0304593816399574,1133.06083327445
9.83040000,-0.0573330968618393,1133.06443209337
9.83042000,-0.16756883263588,1133.0680309123
9.83044000,-0.246857091784477,1133.07162973122
9.83046000,-0.306396037340164,1133.07522855014
9.83048000,-0.376598089933395,1133.07882736907
9.83050000,-0.447044223546982,1133.08242618799
9.83052000,-0.492653518915176,1133.08602500691
9.83054000,-0.510356545448303,1133.08962382584
9.83056000,-0.540844082832336,1133.09322264476
9.83058000,-0.590198636054993,1133.09682146369
9.83060000,-0.613439738750458,1133.10042028261
9.83062000,-0.613045513629913,1133.10401910153
9.83064000,-0.625238656997681,1133.10761792046
9.83066000,-0.6536705493927,1133.11121673938
9.83068000,-0.661010801792145,1133.1148155583
9.83070000,-0.645926594734192,1133.11841437723
9.83072000,-0.644603133201599,1133.12201319615
9.83074000,-0.662822425365448,1133.12561201507
9.83076000,-0.665159702301025,1133.129210834
9.83078000,-0.639553129673004,1133.13280965292
9.83080000,-0.625998973846436,1133.13640847185
9.83082000,-0.633123338222504,1133.14000729077
9.83084000,-0.618959009647369,1133.14360610969
9.83086000,-0.584247529506683,1133.14720492862
9.83088000,-0.566075146198273,1133.15080374754
9.83090000,-0.576456725597382,1133.15440256646
9.83092000,-0.567182779312134,1133.15800138539
9.83094000,-0.528810560703278,1133.16160020431
9.83096000,-0.495375603437424,1133.16519902323
9.83098000,-0.47034165263176,1133.16879784216
9.83100000,-0.435367345809937,1133.17239666108
9.83102000,-0.390030264854431,1133.17599548001
9.83104000,-0.358688563108444,1133.17959429893
9.83106000,-0.340976119041443,1133.18319311785
9.83108000,-0.309371560811996,1133.18679193678
9.83110000,-0.265489399433136,1133.1903907557
9.83112000,-0.243036761879921,1133.19398957462
9.83114000,-0.241253316402435,1133.19758839355
9.83116000,-0.224479541182518,1133.20118721247
9.83118000,-0.190462648868561,1133.2047860314
9.83120000,-0.175932258367538,1133.20838485032
9.83122000,-0.184933975338936,1133.21198366924
9.83124000,-0.177462264895439,1133.21558248817
9.83126000,-0.14555735886097,1133.21918130709
9.83128000,-0.136518105864525,1133.22278012601
9.83130000,-0.159364983439446,1133.22637894494
9.83132000,-0.154089733958244,1133.22997776386
9.83134000,-0.121349424123764,1133.23357658278
9.83136000,-0.0883275121450424,1133.23717540171
9.83138000,-0.072633184492588,1133.24077422063
9.83140000,-0.0381563603878021,1133.24437303956
9.83142000,0.0274744555354118,1133.24797185848
9.83144000,0.0714504793286324,1133.2515706774
9.83146000,0.094119019806385,1133.25516949633
9.83148000,0.119321927428246,1133.25876831525
9.83150000,0.174439802765846,1133.26236713417
9.83152000,0.214098006486893,1133.2659659531
9.83154000,0.217984035611153,1133.26956477202
9.83156000,0.223456412553787,1133.27316359094
9.83158000,0.239085018634796,1133.27676240987
9.83160000,0.247335806488991,1133.28036122879
9.83162000,0.232298538088799,1133.28396004772
9.83164000,0.21875374019146,1133.28755886664
9.83166000,0.208559930324554,1133.29115768556
9.83168000,0.184511572122574,1133.29475650449
9.83170000,0.136105090379715,1133.29835532341
9.83172000,0.108255177736282,1133.30195414233
9.83174000,0.104143865406513,1133.30555296126
9.83176000,0.087463952600956,1133.30915178018
9.83178000,0.0667478144168854,1133.3127505991
9.83180000,0.0617823265492916,1133.31634941803
9.83182000,0.0689630433917046,1133.31994823695
9.83184000,0.0571453683078289,1133.32354705588
9.83186000,0.0240859091281891,1133.3271458748
9.83188000,0.00556622911244631,1133.33074469372
9.83190000,0.0164170898497105,1133.33434351265
9.83192000,0.0115360803902149,1133.33794233157
9.83194000,-0.0130567029118538,1133.34154115049
9.83196000,-0.0333222821354866,1133.34513996942
9.83198000,-0.02471480704844,1133.34873878834
